               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.060892,            0.017634,            0.013124,            0.029231,            0.030154,           0.0064455,           0.0027483,            0.095629,            0.016906,             0.05659,            0.006535,            0.006535,            0.006535
                  37,            0.058103,             0.01721,            0.013738,             0.25593,            0.024144,            0.008155,           0.0039707,             0.09167,            0.017933,            0.060832,            0.006436,            0.006436,            0.006436
                  38,            0.060417,            0.016185,            0.011605,             0.22925,            0.018739,           0.0035477,           0.0013779,            0.095562,            0.017602,             0.05958,            0.006337,            0.006337,            0.006337
                  39,            0.060431,            0.016593,            0.014036,            0.023618,            0.023867,           0.0034996,            0.001792,            0.093052,            0.018559,            0.057561,            0.006238,            0.006238,            0.006238
                  40,            0.057738,            0.016607,             0.01093,             0.01769,            0.012072,           0.0060875,           0.0042148,            0.093798,            0.018803,            0.058228,            0.006139,            0.006139,            0.006139
                  41,            0.055828,            0.015853,            0.011928,            0.023985,              0.0172,           0.0048506,           0.0034116,            0.091361,            0.019389,            0.058136,             0.00604,             0.00604,             0.00604
                  42,            0.057213,            0.015803,            0.012123,             0.24439,            0.017477,           0.0093484,           0.0052512,            0.092249,            0.018729,            0.056646,            0.005941,            0.005941,            0.005941
                  43,            0.055878,              0.0159,            0.010561,             0.21806,              0.0172,           0.0095259,           0.0060784,             0.09244,            0.018225,            0.056717,            0.005842,            0.005842,            0.005842
                  44,            0.055108,            0.015057,           0.0098421,            0.019321,              0.0172,           0.0065724,           0.0041053,            0.092779,            0.018179,            0.055161,            0.005743,            0.005743,            0.005743
                  45,             0.05665,            0.015819,           0.0091765,             0.25365,            0.015939,           0.0059333,            0.002995,            0.092737,            0.018988,            0.056269,            0.005644,            0.005644,            0.005644
                  46,            0.054351,            0.015521,           0.0094832,             0.44127,           0.0054054,           0.0031028,           0.0020624,            0.094227,            0.018784,            0.058683,            0.005545,            0.005545,            0.005545
                  47,             0.05373,            0.016571,           0.0098822,              0.2201,            0.010811,           0.0034637,           0.0024209,            0.094115,            0.019755,            0.058314,            0.005446,            0.005446,            0.005446
                  48,            0.052417,            0.015289,           0.0091267,             0.65447,            0.010811,           0.0052082,           0.0034636,             0.09403,            0.019833,            0.059397,            0.005347,            0.005347,            0.005347
                  49,            0.052789,            0.016185,           0.0080805,             0.64825,            0.010811,           0.0049604,           0.0029909,            0.092853,            0.020721,            0.053525,            0.005248,            0.005248,            0.005248
                  50,             0.05186,            0.015566,           0.0073257,             0.43758,            0.010811,           0.0039502,            0.002236,            0.092636,            0.020372,            0.054128,            0.005149,            0.005149,            0.005149
                  51,             0.05215,            0.014952,           0.0074357,            0.022931,            0.024144,           0.0053076,           0.0035232,            0.092691,            0.019813,            0.053848,             0.00505,             0.00505,             0.00505
                  52,            0.050748,            0.014482,           0.0062962,             0.22922,            0.010811,           0.0047252,           0.0029437,             0.09485,            0.019164,            0.052317,            0.004951,            0.004951,            0.004951
                  53,            0.050389,            0.013943,            0.006548,             0.83853,            0.010811,           0.0053602,           0.0034496,            0.092487,            0.020056,            0.053543,            0.004852,            0.004852,            0.004852
                  54,            0.049582,            0.013262,           0.0078772,            0.025245,            0.045405,           0.0087486,           0.0056411,             0.09432,              0.0201,            0.057098,            0.004753,            0.004753,            0.004753
